name,lat,long,test,link
USFS - Bankhead Ranger District Office,34.1715,-87.4009,Voluntary,https://maps.app.goo.gl/khufXacb2c94o4VB7
Weavers Meat Processing,34.370268,-86.996661,Voluntary,https://maps.app.goo.gl/yPPn3CXnBHCtz4sX7
Van's Sporting Goods,34.1242,-86.888,Voluntary,https://maps.app.goo.gl/B2UbHUMd4WdCNRfS7
Redstone Arsenal - Outdoor Recreation,34.6499654,-86.6249077,Voluntary,https://maps.app.goo.gl/GjHKpqEw8ymvgKfG7
Jenkins Deer Processing,34.761466,-86.3799018,Voluntary,https://maps.app.goo.gl/853p2rAQAAqZ41AT8
JDM-Skyline WMA Check Station,34.865091,-86.10105,Voluntary,https://maps.app.goo.gl/DyJyuzr7DVBMv6mPA
Little River WMA Check Station,34.391722,-85.609628,Voluntary,https://maps.app.goo.gl/QyBc1TMDVJ5W1hQE6
Boldo Deer Processing,33.8645,-87.166,Voluntary,https://maps.app.goo.gl/xoYShsyUUrTMXZ3j7
District II WFF Office,33.867135,-85.737204,Voluntary,https://maps.app.goo.gl/xSjHgsLYBVFo1JUL8
Fayette County ACES Office,33.7303,-87.8048,Voluntary,https://maps.app.goo.gl/Ae6shyRsSemtvDA46
Choccolocco WMA Check Station,33.7144,-85.6726,Voluntary,https://maps.app.goo.gl/7j3NASh8nkYAdoFq8
Buddy's Sports Country,33.525779,-85.638491,Voluntary,https://maps.app.goo.gl/yhQArWFRF6nQVtu67
West Alabama Ag Company,33.275613,-88.093987,Voluntary,https://maps.app.goo.gl/NRjLh3V5zoKkZ197A
District III WFF Office,33.233883,-87.637826,Voluntary,https://maps.app.goo.gl/XitcGvu8LjGB28Ub7
Deerman's Horns and Hooves,33.17197,-87.29034,Voluntary,https://maps.app.goo.gl/9nX27Bwfxpc3GtqJA
William R. Ireland- Cahaba River WMA,33.16323,-86.9549,Voluntary,https://maps.app.goo.gl/NodC3kX4xp6vC9cp6
Shelby County Extension Office,33.178129,-86.633185,Voluntary,https://maps.app.goo.gl/mYvHJK3kcmG5qWBX6
Cabaniss Feed and Farm Supply,33.159376,-86.2724023,Voluntary,https://maps.app.goo.gl/Hu9JXw29WsviPDWBA
Hollins WMA Checkstation,33.1157,-86.1468,Voluntary,https://maps.app.goo.gl/4EVeuJvDa2Cu3fv7A
East Alabama Deer Processing,33.16816,-85.37133,Voluntary,https://maps.app.goo.gl/J8gEotrNcpWGdiUp8
Oakmulgee WMA Check Station,32.956448,-87.459536,Voluntary,https://maps.app.goo.gl/NV5nmqB3NCSB8zG77
